2017,Code,Area,"SIC07: 01-03 : Agriculture, forestry & fishing",SIC07: 05-39 : Production,SIC07: 41-43 : Construction,SIC07: 45 : Motor trades,SIC07: 46 : Wholesale,SIC07: 47 : Retail,SIC07: 49-53 : Transport & Storage (inc. postal),SIC07: 55-56 : Accommodation & food services,SIC07: 58-63 : Information & communication,SIC07: 64-66 : Finance & insurance,SIC07: 68 : Property,"SIC07: 69-75 : Professional, scientific & technical",SIC07: 77-82 : Business administration & support services,SIC07: 84 : Public administration & defence,SIC07: 85 : Education,SIC07: 86-88 : Health,"SIC07: 90-99 : Arts, entertainment, recreation & other services",SIC07: Total
2017,,,,,,,,,,,,,,,,,,,,
2017,E09000001,City of London,20,715,690,25,590,835,280,"1,200","2,005","3,495",980,"8,145","7,320",55,200,275,"1,030","27,860"
2017,E09000002,Barking and Dagenham,5,355,"1,375",235,405,630,545,400,590,90,145,890,780,170,200,790,370,"7,975"
2017,E09000003,Barnet,25,625,"3,015",365,"1,220","2,020",555,975,"2,570",495,"2,005","5,015","2,275",55,555,"1,335","1,585","24,690"
2017,E09000004,Bexley,10,455,"1,860",255,330,800,380,550,"1,055",180,215,"1,550",835,25,240,715,545,"10,000"
2017,E09000005,Brent,5,580,"2,110",405,975,"1,565",670,825,"1,825",270,720,"2,640","1,400",60,355,900,"1,005","16,310"
2017,E09000006,Bromley,65,505,"2,305",285,545,"1,415",310,810,"2,045",375,515,"3,495","1,545",25,420,965,"1,200","16,825"
2017,E09000007,Camden,25,860,"1,425",145,"1,195","2,275",435,"2,020","4,230",820,"1,470","10,075","3,295",115,680,"1,290","2,730","33,085"
2017,E09000008,Croydon,20,510,"2,175",390,570,"1,525",470,990,"1,990",350,500,"3,040","1,455",50,450,"1,310",980,"16,775"
2017,E09000009,Ealing,10,740,"2,340",395,"1,140","1,945",855,955,"2,450",280,685,"3,385","1,700",25,435,960,"1,260","19,560"
2017,E09000010,Enfield,30,535,"2,005",375,760,"1,330",595,695,"1,265",245,610,"2,335","1,330",25,345,"1,000",915,"14,395"
2017,E09000011,Greenwich,5,355,"1,300",170,290,975,360,680,"1,455",160,285,"2,200","1,130",35,340,955,740,"11,435"
2017,E09000012,Hackney,15,705,"1,125",120,595,"1,450",295,"1,050","3,575",280,"1,195","5,100","1,670",40,425,945,"1,630","20,215"
2017,E09000013,Hammersmith and Fulham,15,410,830,130,540,"1,445",240,875,"1,920",310,565,"3,515","1,505",90,320,750,"1,190","14,650"
2017,E09000014,Haringey,15,480,"1,265",175,585,"1,245",340,710,"1,670",150,590,"2,520","1,175",35,315,740,"1,295","13,305"
2017,E09000015,Harrow,10,335,"1,970",265,735,"1,205",500,565,"2,165",330,825,"3,135","1,220",10,295,790,755,"15,110"
2017,E09000016,Havering,35,475,"2,220",330,430,"1,045",570,595,810,235,285,"1,460",955,25,275,740,610,"11,095"
2017,E09000017,Hillingdon,35,580,"1,970",390,710,"1,385","1,140",860,"1,800",270,470,"2,300","1,520",50,310,820,815,"15,425"
2017,E09000018,Hounslow,20,435,"1,335",325,730,"1,200",895,775,"2,635",240,450,"2,585","1,375",35,295,750,965,"15,045"
2017,E09000019,Islington,15,565,950,80,640,"1,420",250,"1,240","3,455",575,725,"5,715","1,930",50,395,925,"1,720","20,650"
2017,E09000020,Kensington and Chelsea,40,345,775,80,540,"1,955",190,"1,080","1,280",525,"1,155","3,530","1,630",30,300,710,"1,380","15,545"
2017,E09000021,Kingston upon Thames,15,285,860,170,365,880,180,515,"1,360",175,330,"2,250",890,75,190,540,635,"9,715"
2017,E09000022,Lambeth,10,360,985,145,390,"1,165",275,"1,120","2,335",250,540,"3,880","2,060",75,415,"1,100","1,370","16,475"
2017,E09000023,Lewisham,5,320,980,165,265,990,275,720,"1,560",170,270,"2,275",975,40,320,905,950,"11,185"
2017,E09000024,Merton,15,355,"1,405",235,470,935,360,510,"1,585",215,425,"2,915","1,305",25,290,740,795,"12,580"
2017,E09000025,Newham,5,380,"1,615",205,530,"1,590",555,685,"1,410",200,425,"2,165","2,005",65,375,850,625,"13,685"
2017,E09000026,Redbridge,15,375,"1,960",260,565,"1,285",485,635,"2,125",240,580,"2,830","1,205",40,390,"1,080",790,"14,860"
2017,E09000027,Richmond upon Thames,20,330,825,125,390,"1,065",190,700,"2,235",250,535,"4,105","1,300",25,360,705,"1,345","14,505"
2017,E09000028,Southwark,20,560,955,125,525,"1,520",365,"1,190","2,600",465,580,"4,570","1,785",75,700,"1,070","1,530","18,635"
2017,E09000029,Sutton,35,315,"1,610",200,325,740,250,485,"1,145",175,225,"1,575",835,20,185,605,560,"9,285"
2017,E09000030,Tower Hamlets,15,605,830,160,860,"1,485",485,"1,205","3,140",670,820,"4,435","1,845",60,475,875,"1,170","19,135"
2017,E09000031,Waltham Forest,15,445,"1,865",215,565,"1,165",445,610,"1,180",160,315,"2,045","1,050",25,280,735,770,"11,885"
2017,E09000032,Wandsworth,25,510,"1,225",150,680,"1,495",285,"1,000","2,520",340,755,"5,325","1,950",50,415,"1,135","1,560","19,420"
2017,E09000033,Westminster,105,"1,405","3,015",125,"1,760","4,260",595,"3,775","5,415","4,135","5,255","12,420","5,685",305,660,"1,875","4,610","55,400"
2017,,,,,,,,,,,,,,,,,,,,
2017,E13000001,Inner London,330,"8,220","16,665","1,830","9,695","23,130","4,865","17,870","37,115","12,385","15,325","73,670","34,830","1,085","5,995","13,445","22,790","299,245"
2017,E13000002,Outer London,390,"8,590","34,505","5,390","11,520","23,110","9,755","13,130","32,285","4,735","10,120","49,750","24,105",800,"6,210","16,435","16,640","267,470"
2017,,,,,,,,,,,,,,,,,,,,
2017,E12000001,North East,"4,105","5,565","9,080","2,765","3,005","9,935","3,135","7,160","3,495","1,730","2,595","12,760","7,010",945,"2,505","6,425","6,330","88,545"
2017,E12000002,North West,"11,995","17,590","30,315","9,115","13,200","34,670","14,815","19,915","16,185","8,775","10,415","45,750","26,790","2,240","7,730","19,835","19,725","309,060"
2017,E12000003,Yorkshire and The Humber,"11,950","14,800","23,480","7,440","9,560","23,505","11,790","15,410","10,245","4,760","7,255","28,255","17,465","2,060","5,720","14,140","13,725","221,560"
2017,E12000004,East Midlands,"11,525","14,585","22,355","7,360","9,160","19,440","12,360","12,130","10,290","5,330","6,705","28,150","15,710","2,145","5,540","12,480","12,140","207,405"
2017,E12000005,West Midlands,"12,840","17,335","24,855","8,480","11,640","24,640","15,440","14,405","13,330","4,840","8,090","34,075","22,435","1,860","6,570","15,235","14,665","250,735"
2017,E12000006,East,"12,535","16,770","39,760","9,465","12,735","25,540","15,680","16,405","22,575","6,195","10,020","48,720","30,115","2,510","7,275","16,060","18,325","310,685"
2017,E12000007,London,720,"16,810","51,170","7,220","21,215","46,240","14,620","31,000","69,400","17,120","25,445","123,420","58,935","1,885","12,205","29,880","39,430","566,715"
2017,E12000008,South East,"12,265","22,240","54,040","12,550","17,980","39,790","15,000","25,440","45,370","10,155","15,320","85,130","41,215","2,875","11,235","24,845","30,105","465,555"
2017,E12000009,South West,"24,915","15,085","31,040","8,505","9,685","25,660","8,870","18,805","16,765","5,780","9,230","38,230","21,115","2,485","8,030","15,280","16,600","276,080"
2017,,,,,,,,,,,,,,,,,,,,
2017,E92000001,England,"102,850","140,780","286,095","72,900","108,180","249,420","111,710","160,670","207,655","64,685","95,075","444,490","240,790","19,005","66,810","154,180","171,045","2,696,340"
2017,W92000004,Wales,"13,890","7,260","13,075","4,125","4,190","13,375","4,505","10,090","4,860","2,575","3,295","13,200","9,375","1,590","3,450","8,420","8,400","125,675"
2017,S92000003,Scotland,"17,590","12,225","20,910","5,475","7,415","22,465","7,565","16,980","11,140","4,815","6,445","34,640","16,660","2,795","5,545","12,850","16,245","221,760"
2017,N92000002,Northern Ireland,"17,875","5,330","9,795","2,755","3,575","9,020","2,780","4,590","1,990","1,685","2,230","6,020","3,210",770,"3,315","5,020","5,650","85,610"
2017,,,,,,,,,,,,,,,,,,,,
2017,K04000001,England and Wales,"116,740","148,040","299,170","77,025","112,370","262,795","116,215","170,760","212,515","67,260","98,370","457,690","250,165","20,595","70,260","162,600","179,445","2,822,015"
2017,K03000001,Great Britain,"134,330","160,265","320,080","82,500","119,785","285,260","123,780","187,740","223,655","72,075","104,815","492,330","266,825","23,390","75,805","175,450","195,690","3,043,775"
2017,K02000001,United Kingdom,"152,205","165,595","329,875","85,255","123,360","294,280","126,560","192,330","225,645","73,760","107,045","498,350","270,035","24,160","79,120","180,470","201,340","3,129,385"
2017,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2018,Code,Area,"SIC07: 01-03 : Agriculture, forestry & fishing",SIC07: 05-39 : Production,SIC07: 41-43 : Construction,SIC07: 45 : Motor trades,SIC07: 46 : Wholesale,SIC07: 47 : Retail,SIC07: 49-53 : Transport & Storage (inc. postal),SIC07: 55-56 : Accommodation & food services,SIC07: 58-63 : Information & communication,SIC07: 64-66 : Finance & insurance,SIC07: 68 : Property,"SIC07: 69-75 : Professional, scientific & technical",SIC07: 77-82 : Business administration & support services,SIC07: 84 : Public administration & defence,SIC07: 85 : Education,SIC07: 86-88 : Health,"SIC07: 90-99 : Arts, entertainment, recreation & other services",SIC07: Total
2018,,,,,,,,,,,,,,,,,,,,
2018,E09000001,City of London,20,730,725,25,605,995,285,"1,280","2,185","3,700","1,055","8,005","6,105",55,215,330,"1,050","27,365"
2018,E09000002,Barking and Dagenham,10,330,"1,460",225,410,645,530,410,610,90,145,810,780,170,200,605,360,"7,790"
2018,E09000003,Barnet,30,625,"3,200",350,"1,155","2,165",600,"1,000","2,570",530,"2,055","4,910","2,205",55,535,"1,250","1,585","24,820"
2018,E09000004,Bexley,10,445,"1,905",260,335,805,380,570,"1,065",180,225,"1,510",840,25,225,555,560,"9,895"
2018,E09000005,Brent,5,585,"2,255",410,955,"1,600",670,915,"1,870",270,755,"2,630","1,355",60,320,790,"1,015","16,460"
2018,E09000006,Bromley,60,495,"2,355",290,525,"1,665",310,855,"2,080",390,510,"3,465","1,570",25,380,900,"1,195","17,070"
2018,E09000007,Camden,30,"1,005","1,515",150,"1,240","2,450",465,"2,140","4,610",855,"1,525","10,385","3,530",115,680,"1,205","2,845","34,745"
2018,E09000008,Croydon,15,495,"2,285",390,540,"1,540",500,"1,020","2,030",335,525,"2,930","1,445",50,420,"1,095","1,000","16,615"
2018,E09000009,Ealing,15,740,"2,445",415,"1,165","1,915",830,990,"2,420",275,720,"3,340","1,680",25,395,865,"1,250","19,485"
2018,E09000010,Enfield,30,535,"2,065",365,785,"1,315",600,715,"1,275",250,625,"2,325","1,310",25,310,860,900,"14,290"
2018,E09000011,Greenwich,10,355,"1,395",165,295,975,350,695,"1,465",145,290,"2,155","1,105",35,305,760,765,"11,265"
2018,E09000012,Hackney,15,720,"1,215",130,625,"1,535",290,"1,100","3,800",305,"1,275","5,345","1,925",50,415,765,"1,640","21,150"
2018,E09000013,Hammersmith and Fulham,20,420,820,135,535,"1,485",235,915,"1,860",320,600,"3,415","1,490",90,290,615,"1,210","14,455"
2018,E09000014,Haringey,15,510,"1,345",180,575,"1,275",340,730,"1,620",150,645,"2,520","1,100",30,275,625,"1,260","13,195"
2018,E09000015,Harrow,10,375,"2,100",300,715,"1,220",510,595,"2,220",330,860,"3,285","1,235",10,270,730,730,"15,495"
2018,E09000016,Havering,35,475,"2,330",335,435,"1,000",565,590,815,235,295,"1,425",950,25,245,615,620,"10,990"
2018,E09000017,Hillingdon,35,565,"2,060",395,720,"1,390","1,115",885,"1,800",280,515,"2,220","1,480",50,295,710,800,"15,315"
2018,E09000018,Hounslow,25,420,"1,390",315,715,"1,210",855,840,"2,580",235,470,"2,515","1,330",30,275,625,945,"14,775"
2018,E09000019,Islington,20,615,"1,055",90,690,"1,500",270,"1,300","3,570",580,775,"5,640","1,980",45,355,820,"1,705","21,010"
2018,E09000020,Kensington and Chelsea,40,380,775,75,550,"1,895",190,"1,100","1,305",545,"1,135","3,585","1,625",25,300,685,"1,380","15,590"
2018,E09000021,Kingston upon Thames,10,270,915,175,390,"1,010",180,525,"1,350",170,350,"2,215",905,75,175,490,655,"9,860"
2018,E09000022,Lambeth,10,375,"1,020",125,390,"1,165",285,"1,155","2,310",245,595,"3,685","1,655",70,345,835,"1,395","15,660"
2018,E09000023,Lewisham,10,330,"1,015",165,270,985,275,755,"1,530",155,285,"2,255",950,40,280,720,950,"10,970"
2018,E09000024,Merton,15,370,"1,460",230,475,965,410,565,"1,615",210,440,"2,770","1,285",30,255,615,785,"12,495"
2018,E09000025,Newham,5,400,"1,830",210,530,"1,615",600,720,"1,450",200,445,"1,770","2,515",60,335,660,660,"14,005"
2018,E09000026,Redbridge,15,385,"2,090",280,565,"1,310",530,650,"2,130",235,615,"2,670","1,210",40,340,925,775,"14,765"
2018,E09000027,Richmond upon Thames,20,345,875,125,375,"1,070",195,690,"2,285",250,540,"4,090","1,300",20,350,670,"1,285","14,485"
2018,E09000028,Southwark,15,615,975,125,520,"1,400",340,"1,265","2,650",500,605,"4,555","1,830",70,390,890,"1,575","18,320"
2018,E09000029,Sutton,40,315,"1,655",195,325,740,250,485,"1,160",165,235,"1,575",805,20,200,535,585,"9,285"
2018,E09000030,Tower Hamlets,15,655,850,145,835,"1,595",470,"1,240","3,250",635,835,"4,365","1,860",55,435,745,"1,225","19,210"
2018,E09000031,Waltham Forest,15,420,"2,010",205,545,"1,150",430,630,"1,165",160,340,"2,030","1,000",20,255,605,795,"11,775"
2018,E09000032,Wandsworth,20,495,"1,235",140,670,"1,495",285,"1,020","2,445",340,775,"5,300","1,925",45,385,945,"1,495","19,015"
2018,E09000033,Westminster,115,"1,490","3,060",145,"1,780","4,455",615,"3,890","5,510","4,405","5,415","12,560","5,785",285,705,"1,820","4,545","56,580"
2018,,,,,,,,,,,,,,,,,,,,
2018,E13000001,Inner London,350,"8,740","17,435","1,840","9,815","23,845","4,945","18,610","38,095","12,935","15,965","73,385","34,275","1,035","5,405","11,660","22,935","301,270"
2018,E13000002,Outer London,405,"8,545","36,250","5,425","11,425","23,690","9,810","13,625","32,505","4,735","10,510","48,870","23,790",790,"5,750","14,200","16,605","266,930"
2018,,,,,,,,,,,,,,,,,,,,
2018,E12000001,North East,"4,125","5,615","9,295","2,805","2,980","9,915","3,045","7,620","3,555","1,755","2,590","12,120","6,950",925,"2,425","6,105","6,425","88,250"
2018,E12000002,North West,"11,990","17,940","32,005","9,205","13,250","36,600","17,485","20,710","16,420","9,110","10,675","45,665","27,830","2,200","7,665","18,635","19,815","317,200"
2018,E12000003,Yorkshire and The Humber,"12,100","14,885","23,845","7,555","9,495","23,325","11,815","15,985","10,370","4,870","7,385","27,495","16,145","2,100","5,475","13,235","13,810","219,890"
2018,E12000004,East Midlands,"11,530","14,445","23,545","7,420","9,060","19,765","12,375","12,530","10,300","5,645","6,800","26,960","16,555","2,030","5,365","11,740","12,780","208,845"
2018,E12000005,West Midlands,"12,955","17,205","25,435","8,605","11,385","24,725","14,415","14,995","13,170","4,965","8,245","33,555","22,670","1,875","6,110","14,300","15,300","249,910"
2018,E12000006,East,"12,530","16,800","41,365","9,570","12,565","25,955","14,105","16,830","22,810","6,350","10,100","46,335","25,575","2,520","7,150","14,900","18,445","303,905"
2018,E12000007,London,755,"17,285","53,685","7,265","21,240","47,535","14,755","32,235","70,600","17,670","26,475","122,255","58,065","1,825","11,155","25,860","39,540","568,200"
2018,E12000008,South East,"12,315","22,335","55,715","12,675","17,805","40,625","14,860","26,250","45,970","10,425","15,670","83,970","40,970","2,860","11,180","23,475","30,060","467,160"
2018,E12000009,South West,"25,045","15,305","31,890","8,590","9,460","25,560","8,605","19,265","16,770","6,030","9,445","37,405","20,275","2,375","6,330","14,740","16,750","273,840"
2018,,,,,,,,,,,,,,,,,,,,
2018,E92000001,England,"103,345","141,815","296,780","73,690","107,240","254,005","111,460","166,420","209,965","66,820","97,385","435,760","235,035","18,710","62,855","142,990","172,925","2,697,200"
2018,W92000004,Wales,"13,965","7,385","13,465","4,170","4,150","13,910","4,580","10,260","4,820","2,625","3,310","12,910","9,380","1,645","3,250","8,290","8,355","126,470"
2018,S92000003,Scotland,"17,770","12,530","21,345","5,540","7,355","22,395","7,475","17,310","11,170","4,770","6,545","33,695","16,325","3,060","5,210","12,550","16,325","221,370"
2018,N92000002,Northern Ireland,"18,320","5,570","10,325","2,820","3,625","9,100","2,850","4,750","2,130","1,700","2,420","6,280","3,765",765,"3,320","4,675","5,805","88,220"
2018,,,,,,,,,,,,,,,,,,,,
2018,K04000001,England and Wales,"117,310","149,200","310,245","77,860","111,390","267,915","116,040","176,680","214,785","69,445","100,695","448,670","244,415","20,355","66,105","151,280","181,280","2,823,670"
2018,K03000001,Great Britain,"135,080","161,730","331,590","83,400","118,745","290,310","123,515","193,990","225,955","74,215","107,240","482,365","260,740","23,415","71,315","163,830","197,605","3,045,040"
2018,K02000001,United Kingdom,"153,400","167,300","341,915","86,220","122,370","299,410","126,365","198,740","228,085","75,915","109,660","488,645","264,505","24,180","74,635","168,505","203,410","3,133,260"
2018,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2019,Code,Area,"SIC07: 01-03 : Agriculture, forestry & fishing",SIC07: 05-39 : Production,SIC07: 41-43 : Construction,SIC07: 45 : Motor trades,SIC07: 46 : Wholesale,SIC07: 47 : Retail,SIC07: 49-53 : Transport & Storage (inc. postal),SIC07: 55-56 : Accommodation & food services,SIC07: 58-63 : Information & communication,SIC07: 64-66 : Finance & insurance,SIC07: 68 : Property,"SIC07: 69-75 : Professional, scientific & technical",SIC07: 77-82 : Business administration & support services,SIC07: 84 : Public administration & defence,SIC07: 85 : Education,SIC07: 86-88 : Health,"SIC07: 90-99 : Arts, entertainment, recreation & other services",SIC07: Total
2019,,,,,,,,,,,,,,,,,,,,
2019,E09000001,City of London,25,835,785,30,640,"1,425",290,"1,280","2,415","3,700","1,095","8,040","5,225",55,215,335,"1,070","27,460"
2019,E09000002,Barking and Dagenham,10,335,"1,645",225,405,710,620,430,665,90,140,790,790,170,195,495,380,"8,095"
2019,E09000003,Barnet,35,610,"3,385",360,"1,205","2,400",635,"1,000","2,690",535,"2,145","4,955","2,270",55,540,"1,230","1,610","25,660"
2019,E09000004,Bexley,10,450,"1,980",270,330,815,405,580,"1,090",185,225,"1,490",855,25,230,490,555,"9,985"
2019,E09000005,Brent,5,575,"2,400",405,955,"1,895",690,935,"1,900",270,775,"2,650","1,375",65,315,745,"1,035","16,990"
2019,E09000006,Bromley,65,475,"2,465",265,505,"1,570",330,855,"2,150",385,520,"3,505","1,620",25,385,840,"1,205","17,165"
2019,E09000007,Camden,35,"1,195","1,590",165,"1,285","2,885",510,"2,170","4,990",855,"1,585","10,310","3,520",115,725,"1,180","2,925","36,040"
2019,E09000008,Croydon,20,530,"2,335",395,575,"1,615",510,"1,015","2,095",340,550,"2,920","1,485",55,415,990,"1,015","16,860"
2019,E09000009,Ealing,20,735,"2,500",430,"1,185","1,895",845,"1,010","2,450",285,750,"3,330","1,680",30,385,815,"1,215","19,560"
2019,E09000010,Enfield,30,550,"2,330",375,785,"1,305",635,745,"1,340",240,675,"2,305","1,320",25,325,770,935,"14,690"
2019,E09000011,Greenwich,10,360,"1,470",180,295,"1,015",380,715,"1,585",155,295,"2,200","1,160",40,300,660,790,"11,610"
2019,E09000012,Hackney,15,725,"1,300",125,675,"1,635",305,"1,125","4,175",350,"1,400","5,685","2,135",50,460,720,"1,680","22,560"
2019,E09000013,Hammersmith and Fulham,15,400,870,130,570,"1,480",240,925,"1,870",340,650,"3,400","1,545",90,290,550,"1,215","14,580"
2019,E09000014,Haringey,15,525,"1,470",185,565,"1,310",375,760,"1,625",145,685,"2,610","1,080",30,275,565,"1,260","13,480"
2019,E09000015,Harrow,15,375,"2,300",315,715,"1,270",535,620,"2,335",320,915,"3,290","1,205",15,275,720,875,"16,095"
2019,E09000016,Havering,30,495,"2,510",340,420,"1,010",585,625,875,225,310,"1,420",985,30,225,545,635,"11,265"
2019,E09000017,Hillingdon,30,565,"2,225",430,735,"1,610","1,135",900,"1,840",285,530,"2,280","1,465",55,280,640,805,"15,810"
2019,E09000018,Hounslow,25,430,"1,465",335,725,"1,225",915,845,"2,605",245,485,"2,520","1,410",35,280,585,950,"15,080"
2019,E09000019,Islington,20,665,"1,165",100,730,"1,625",340,"1,350","3,885",620,830,"5,855","2,230",45,385,805,"1,755","22,405"
2019,E09000020,Kensington and Chelsea,40,390,790,80,575,"1,880",190,"1,110","1,365",555,"1,155","3,675","1,735",35,305,680,"1,365","15,925"
2019,E09000021,Kingston upon Thames,15,265,975,175,395,"1,165",200,530,"1,410",170,355,"2,210",905,75,180,480,620,"10,125"
2019,E09000022,Lambeth,10,375,"1,070",130,380,"1,210",305,"1,190","2,325",230,605,"3,720","1,625",75,345,780,"1,410","15,785"
2019,E09000023,Lewisham,10,325,"1,070",155,280,995,295,790,"1,640",160,290,"2,345",995,35,270,645,"1,045","11,345"
2019,E09000024,Merton,15,375,"1,525",225,495,970,425,585,"1,625",205,430,"2,730","1,280",30,265,560,785,"12,525"
2019,E09000025,Newham,5,420,"2,010",205,540,"1,760",695,850,"1,560",200,465,"1,885","2,010",60,345,620,735,"14,365"
2019,E09000026,Redbridge,15,395,"2,345",295,585,"1,355",565,645,"2,190",240,675,"2,670","1,255",45,335,830,780,"15,220"
2019,E09000027,Richmond upon Thames,20,335,925,115,370,"1,095",195,710,"2,305",265,575,"4,120","1,365",20,355,630,"1,290","14,690"
2019,E09000028,Southwark,20,630,"1,010",125,530,"1,495",345,"1,315","2,750",495,640,"4,690","1,955",75,380,820,"1,620","18,895"
2019,E09000029,Sutton,35,305,"1,785",185,340,790,265,485,"1,275",165,245,"1,600",800,20,195,500,600,"9,590"
2019,E09000030,Tower Hamlets,15,605,895,140,850,"1,525",460,"1,295","3,455",645,885,"4,530","1,930",60,470,725,"1,265","19,750"
2019,E09000031,Waltham Forest,15,450,"2,175",205,565,"1,435",445,650,"1,295",160,355,"2,085","1,065",20,240,535,815,"12,510"
2019,E09000032,Wandsworth,20,480,"1,240",140,695,"1,495",280,"1,090","2,480",365,785,"5,325","1,980",45,405,865,"1,470","19,160"
2019,E09000033,Westminster,115,"1,515","3,290",160,"1,835","4,980",650,"3,940","5,595","4,540","5,565","13,005","6,270",320,685,"1,780","4,665","58,910"
2019,,,,,,,,,,,,,,,,,,,,
2019,E13000001,Inner London,360,"9,085","18,555","1,870","10,150","25,700","5,280","19,190","40,130","13,200","16,635","75,075","34,235","1,090","5,555","11,070","23,480","310,660"
2019,E13000002,Outer London,420,"8,610","38,740","5,525","11,585","25,145","10,315","13,880","33,720","4,765","10,950","49,070","24,290",835,"5,720","13,060","16,895","273,525"
2019,,,,,,,,,,,,,,,,,,,,
2019,E12000001,North East,"4,130","5,665","9,470","2,845","2,945","9,800","3,045","7,885","3,635","1,775","2,720","12,110","7,285",915,"2,420","5,895","6,480","89,020"
2019,E12000002,North West,"11,960","18,070","32,170","9,390","13,280","36,570","15,135","21,465","16,665","9,250","11,050","45,715","27,295","2,140","7,655","17,795","19,920","315,525"
2019,E12000003,Yorkshire and The Humber,"12,095","15,000","24,270","7,720","9,460","23,670","11,740","16,475","10,575","4,890","7,635","27,995","16,585","2,085","5,495","12,755","14,130","222,575"
2019,E12000004,East Midlands,"11,530","14,555","23,710","7,665","9,055","19,925","12,460","12,925","10,575","5,895","7,060","26,950","15,825","2,005","5,285","11,025","14,045","210,490"
2019,E12000005,West Midlands,"12,985","17,210","26,245","8,795","11,740","24,695","14,695","15,795","13,355","4,980","8,625","32,995","22,955","1,835","6,070","13,285","14,825","251,085"
2019,E12000006,East,"12,480","17,075","43,275","9,900","12,530","27,435","15,380","17,210","23,420","6,520","10,530","46,990","26,580","2,545","7,245","14,205","18,535","311,855"
2019,E12000007,London,780,"17,695","57,295","7,395","21,735","50,845","15,595","33,070","73,850","17,965","27,585","124,145","58,525","1,925","11,275","24,130","40,375","584,185"
2019,E12000008,South East,"12,355","22,475","57,905","12,880","17,750","43,155","15,355","26,740","47,190","10,760","16,210","84,870","43,230","2,825","11,190","22,620","30,130","477,640"
2019,E12000009,South West,"25,010","15,385","32,820","8,705","9,405","25,355","8,860","19,750","17,065","6,010","9,805","37,825","20,560","2,420","6,285","14,100","16,810","276,170"
2019,,,,,,,,,,,,,,,,,,,,
2019,E92000001,England,"103,325","143,130","307,160","75,295","107,900","261,450","112,265","171,315","216,330","68,045","101,220","439,595","238,840","18,695","62,920","135,810","175,250","2,738,545"
2019,W92000004,Wales,"13,995","7,455","14,000","4,220","4,120","13,695","5,595","10,360","4,950","2,630","3,395","13,085","9,850","1,645","3,275","8,115","8,360","128,745"
2019,S92000003,Scotland,"17,845","12,685","21,810","5,585","7,300","22,395","7,505","17,650","11,440","4,825","6,745","33,805","16,605","3,040","5,205","12,325","16,360","223,125"
2019,N92000002,Northern Ireland,"18,560","5,730","10,650","2,905","3,630","9,115","2,875","4,950","2,210","1,715","2,930","6,460","3,570",805,"3,355","4,740","5,990","90,190"
2019,,,,,,,,,,,,,,,,,,,,
2019,K04000001,England and Wales,"117,320","150,585","321,160","79,515","112,020","275,145","117,860","181,675","221,280","70,675","104,615","452,680","248,690","20,340","66,195","143,925","183,610","2,867,290"
2019,K03000001,Great Britain,"135,165","163,270","342,970","85,100","119,320","297,540","125,365","199,325","232,720","75,500","111,360","486,485","265,295","23,380","71,400","156,250","199,970","3,090,415"
2019,K02000001,United Kingdom,"153,725","169,000","353,620","88,005","122,950","306,655","128,240","204,275","234,930","77,215","114,290","492,945","268,865","24,185","74,755","160,990","205,960","3,180,605"
2019,,,,,,,,,,,,,,,,,,,,
